"YEAR","JURISDICTION","LOCATION","AGE_GROUP","DETECTION_TYPE","Sum(FINES)"
2021,"QLD","All regions","All ages","Police Issued",113413
2021,"SA","All regions","All ages","Camera Issued",202693
2021,"TAS","All regions","All ages","Camera Issued",4244
2021,"TAS","All regions","All ages","Police Issued",34984
2021,"VIC","All regions","All ages","Camera Issued",1231672
2021,"WA","All regions","All ages","Camera Issued",734701
2021,"WA","All regions","All ages","Police Issued",74843
2022,"NSW","All regions","All ages","Camera Issued",1053321
2022,"NSW","All regions","All ages","Police Issued",164275
2022,"NT","All regions","All ages","Camera Issued",27390
2022,"NT","All regions","All ages","Police Issued",6252
2022,"QLD","All regions","All ages","Camera Issued",777226
2022,"QLD","All regions","All ages","Police Issued",72173
2022,"SA","All regions","All ages","Camera Issued",157432
2022,"SA","All regions","All ages","Police Issued",28764
2022,"TAS","All regions","All ages","Camera Issued",14023
2022,"TAS","All regions","All ages","Police Issued",28714
2022,"VIC","All regions","All ages","Camera Issued",1255302
2022,"VIC","All regions","All ages","Police Issued",122929
2022,"WA","All regions","All ages","Camera Issued",775750
2022,"WA","All regions","All ages","Police Issued",67791
2023,"ACT","Major Cities of Australia","0-16","Camera Issued",23
2023,"ACT","Major Cities of Australia","0-16","Police Issued",35
2023,"ACT","Major Cities of Australia","17-25","Camera Issued",8304
2023,"ACT","Major Cities of Australia","17-25","Police Issued",703
2023,"ACT","Major Cities of Australia","26-39","Camera Issued",19121
2023,"ACT","Major Cities of Australia","26-39","Police Issued",829
2023,"ACT","Major Cities of Australia","40-64","Camera Issued",31223
2023,"ACT","Major Cities of Australia","40-64","Police Issued",613
2023,"ACT","Major Cities of Australia","65 and over","Camera Issued",9870
2023,"ACT","Major Cities of Australia","65 and over","Police Issued",55
2023,"ACT","Major Cities of Australia","Unknown","Camera Issued",1185
2023,"NSW","Inner Regional Australia","0-16","Police Issued",61
2023,"NSW","Inner Regional Australia","17-25","Police Issued",17215
2023,"NSW","Inner Regional Australia","26-39","Police Issued",26714
2023,"NSW","Inner Regional Australia","40-64","Police Issued",27528
2023,"NSW","Inner Regional Australia","65 and over","Police Issued",6294
2023,"NSW","Major Cities of Australia","0-16","Police Issued",49
2023,"NSW","Major Cities of Australia","17-25","Police Issued",21353
2023,"NSW","Major Cities of Australia","26-39","Police Issued",24807
2023,"NSW","Major Cities of Australia","40-64","Police Issued",21636
2023,"NSW","Major Cities of Australia","65 and over","Police Issued",3070
2023,"NSW","Outer Regional Australia","0-16","Police Issued",14
2023,"NSW","Outer Regional Australia","17-25","Police Issued",4374
2023,"NSW","Outer Regional Australia","26-39","Police Issued",7449
2023,"NSW","Outer Regional Australia","40-64","Police Issued",8871
2023,"NSW","Outer Regional Australia","65 and over","Police Issued",2346
2023,"NSW","Remote Australia","17-25","Police Issued",282
2023,"NSW","Remote Australia","26-39","Police Issued",555
2023,"NSW","Remote Australia","40-64","Police Issued",664
2023,"NSW","Remote Australia","65 and over","Police Issued",175
2023,"NSW","Unknown","0-16","Police Issued",2
2023,"NSW","Unknown","17-25","Police Issued",510
2023,"NSW","Unknown","26-39","Police Issued",664
2023,"NSW","Unknown","40-64","Police Issued",644
2023,"NSW","Unknown","65 and over","Police Issued",130
2023,"NSW","Unknown","Unknown","Camera Issued",705834
2023,"NSW","Very Remote Australia","0-16","Police Issued",1
2023,"NSW","Very Remote Australia","17-25","Police Issued",46
2023,"NSW","Very Remote Australia","26-39","Police Issued",91
2023,"NSW","Very Remote Australia","40-64","Police Issued",83
2023,"NSW","Very Remote Australia","65 and over","Police Issued",21
2023,"NT","Unknown","0-16","Camera Issued",42
2023,"NT","Unknown","0-16","Police Issued",15
2023,"NT","Unknown","17-25","Camera Issued",4976
2023,"NT","Unknown","17-25","Police Issued",673
2023,"NT","Unknown","26-39","Camera Issued",12975
2023,"NT","Unknown","26-39","Police Issued",1308
2023,"NT","Unknown","40-64","Camera Issued",16413
2023,"NT","Unknown","40-64","Police Issued",1246
2023,"NT","Unknown","65 and over","Camera Issued",3988
2023,"NT","Unknown","65 and over","Police Issued",200
2023,"NT","Unknown","Unknown","Camera Issued",1469
2023,"NT","Unknown","Unknown","Police Issued",1
2023,"QLD","Unknown","Unknown","Camera Issued",743514
2023,"QLD","Unknown","Unknown","Police Issued",117112
2023,"SA","Unknown","0-16","Camera Issued",10
2023,"SA","Unknown","0-16","Other",0
2023,"SA","Unknown","0-16","Police Issued",11
2023,"SA","Unknown","17-25","Camera Issued",15820
2023,"SA","Unknown","17-25","Other",1
2023,"SA","Unknown","17-25","Police Issued",8543
2023,"SA","Unknown","26-39","Camera Issued",41117
2023,"SA","Unknown","26-39","Other",2
2023,"SA","Unknown","26-39","Police Issued",15231
2023,"SA","Unknown","40-64","Camera Issued",70746
2023,"SA","Unknown","40-64","Other",1
2023,"SA","Unknown","40-64","Police Issued",19290
2023,"SA","Unknown","65 and over","Camera Issued",23259
2023,"SA","Unknown","65 and over","Other",0
2023,"SA","Unknown","65 and over","Police Issued",5121
2023,"SA","Unknown","Unknown","Camera Issued",4410
2023,"SA","Unknown","Unknown","Other",0
2023,"SA","Unknown","Unknown","Police Issued",40
2023,"TAS","Unknown","0-16","Camera Issued",15
2023,"TAS","Unknown","0-16","Police Issued",3
2023,"TAS","Unknown","17-25","Camera Issued",5525
2023,"TAS","Unknown","17-25","Police Issued",3882
2023,"TAS","Unknown","26-39","Camera Issued",13978
2023,"TAS","Unknown","26-39","Police Issued",6308
2023,"TAS","Unknown","40-64","Camera Issued",19045
2023,"TAS","Unknown","40-64","Police Issued",7281
2023,"TAS","Unknown","65 and over","Camera Issued",6820
2023,"TAS","Unknown","65 and over","Police Issued",2148
2023,"TAS","Unknown","Unknown","Camera Issued",23
2023,"TAS","Unknown","Unknown","Police Issued",12
2023,"VIC","Inner Regional Australia","0-16","Police Issued",6
2023,"VIC","Inner Regional Australia","17-25","Camera Issued",10096
2023,"VIC","Inner Regional Australia","17-25","Police Issued",8803
2023,"VIC","Inner Regional Australia","26-39","Camera Issued",38326
2023,"VIC","Inner Regional Australia","26-39","Police Issued",17044
2023,"VIC","Inner Regional Australia","40-64","Camera Issued",62049
2023,"VIC","Inner Regional Australia","40-64","Police Issued",21431
2023,"VIC","Inner Regional Australia","65 and over","Camera Issued",24389
2023,"VIC","Inner Regional Australia","65 and over","Police Issued",5524
2023,"VIC","Inner Regional Australia","Unknown","Camera Issued",34600
2023,"VIC","Inner Regional Australia","Unknown","Police Issued",23
2023,"VIC","Major Cities of Australia","0-16","Police Issued",7
2023,"VIC","Major Cities of Australia","17-25","Camera Issued",58027
